AVHL ID,First Name,Last Name,Full Name,Current Team,Years Left,AAV,22-23 SA,22-23 SV,22-23 SV%,23-24 SA,23-24 SV,23-24 SV%,24-25 SA,24-25 SV,24-25 SV%,25-26 SA,25-26 SV,25-26 SV%,Total SA,Total SV,Career SV%,League,Team,Overall Rating,Birthdate,Jersey #,Position(s),Height (In),Height,Weight,Age,Glove,Draft Year,Draft Round,Draft Pick,Angles,Breakaway,Five Hole,Glove High,Glove Low,Stick High,Stick Low,Passing,Poise,Poke Check,Puck Playing Freq.,Rebound Control,Recover,Aggressiveness,Agility,Durability,Endurance,Speed,Vision
1720,Connor,Ingram,Connor Ingram,Chicago Rockets,4,"$2,500,000",0,0,0.000,96,89,0.927,2648,2447,0.924,1127,1013,0.899,3871,3549,0.917,NHL,Edmonton Oilers,82,03/31/1997,39,G,74,"6'2""",196,29,Left,2016,3,88,86,84,87,87,87,88,88,83,82,83,84,86,86,84,80,83,83,82,83
1721,Sergei,Bobrovsky,Sergei Bobrovsky,North Dakota Bison,5,"$7,000,000",1527,1366,0.895,2572,2351,0.914,2485,2255,0.907,1695,1540,0.909,8279,7512,0.907,NHL,Florida Panthers,87,09/20/1988,72,G,74,"6'2""",180,37,Left,N/A,N/A,N/A,87,87,87,89,90,90,90,88,90,91,87,90,90,82,86,92,91,85,90
1722,Daniil,Tarasov,Daniil Tarasov,Nevada Archers,6,"$1,500,000",0,0,0.000,21,20,0.952,110,98,0.891,0,0,0.000,131,118,0.901,NHL,Florida Panthers,80,03/27/1999,40,G,77,"6'5""",203,27,Left,2017,3,86,85,82,85,86,87,88,86,83,82,86,85,84,85,81,80,81,81,81,84
1723,Darcy,Kuemper,Darcy Kuemper,Kansas City Metrostars,3,"$7,000,000",1558,1417,0.909,2508,2286,0.911,2533,2294,0.906,1625,1476,0.908,8224,7473,0.909,NHL,Los Angeles Kings,87,05/05/1990,35,G,77,"6'5""",215,36,Left,2009,6,161,85,86,90,90,91,88,92,85,92,88,83,86,90,85,88,88,88,89,84
1724,Anton,Forsberg,Anton Forsberg,Oklahoma Twisters,4,"$2,000,000",0,0,0.000,11,11,1.000,27,24,0.889,795,714,0.898,833,749,0.899,NHL,Los Angeles Kings,81,11/27/1992,31,G,75,"6'3""",198,33,Left,2011,7,188,84,82,84,85,86,85,87,84,83,81,81,84,85,84,85,84,83,86,87
1725,Filip,Gustavsson,Filip Gustavsson,Honolulu Hawks,2,"$9,000,000",0,0,0.000,124,114,0.919,11,11,1.000,1513,1391,0.919,1648,1516,0.920,NHL,Minnesota Wild,89,06/07/1998,32,G,74,"6'2""",184,28,Left,2016,2,55,92,88,90,88,91,88,91,84,85,84,82,88,90,93,86,91,92,90,89
1726,Jesper,Wallstedt,Jesper Wallstedt,Cincinnati Thunderbolts,5,"$5,000,000",0,0,0.000,0,0,0.000,121,105,0.868,1715,1524,0.889,1836,1629,0.887,NHL,Minnesota Wild,85,11/14/2002,30,G,75,"6'3""",214,23,Left,2021,1,20,89,88,89,86,89,86,89,82,85,82,80,89,89,85,85,85,85,85,88
1727,Samuel,Montembeault,Samuel Montembeault,Charleston Tsunami,2,"$3,250,000",3,3,1.000,93,84,0.903,47,43,0.915,804,729,0.907,947,859,0.907,NHL,Montreal Canadiens,83,10/30/1996,35,G,75,"6'3""",218,29,Left,2015,3,77,85,82,88,83,88,83,86,82,89,84,81,86,86,89,91,92,92,90,84
1728,Jakub,Dobeš,Jakub Dobeš,Montana Miners,6,"$2,500,000",0,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,NHL,Montreal Canadiens,82,05/27/2001,75,G,76,"6'4""",215,25,Left,2020,5,136,87,83,86,85,87,89,86,82,91,83,80,85,86,88,82,81,81,82,83
1729,Jacob,Fowler,Jacob Fowler,Long Island Blizzard,3,"$1,500,000",0,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,NHL,Montreal Canadiens,80,11/24/2004,32,G,73,"6'1""",223,21,Left,2023,3,69,86,85,86,83,85,83,85,82,80,83,80,85,85,82,86,85,80,85,82
1730,Juuse,Saros,Juuse Saros,Arizona Heat,5,"$8,000,000",1453,1305,0.898,2464,2264,0.919,2459,2242,0.912,1604,1450,0.904,7980,7261,0.910,NHL,Nashville Predators,88,04/19/1995,74,G,71,"5'11""",180,31,Left,2013,4,99,86,88,88,87,91,89,94,89,87,85,89,89,90,83,91,94,94,92,82
1731,Justus,Annunen,Justus Annunen,Las Vegas Vipers,3,"$1,000,000",0,0,0.000,0,0,0.000,71,65,0.915,1003,913,0.910,1074,978,0.911,NHL,Nashville Predators,78,03/11/2000,29,G,76,"6'4""",210,26,Left,2018,3,64,81,81,82,84,85,83,84,83,84,81,81,85,83,81,83,83,83,82,83
1732,Jacob,Markstrom,Jacob Markstrom,Florida Sunshine,6,"$5,000,000",1663,1508,0.907,2514,2302,0.916,2663,2419,0.908,1670,1517,0.908,8510,7746,0.910,NHL,New Jersey Devils,85,01/31/1990,25,G,78,"6'6""",207,36,Left,2008,2,31,85,86,88,86,87,86,89,91,86,87,90,89,87,84,87,89,89,92,88
1733,Jake,Allen,Jake Allen,South Dakota Spartans,1,"$3,250,000",0,0,0.000,2517,2297,0.913,103,92,0.893,923,843,0.913,3543,3232,0.912,NHL,New Jersey Devils,83,08/07/1990,34,G,74,"6'2""",197,36,Left,2008,2,34,86,85,85,89,87,88,86,86,84,86,88,84,87,83,85,84,84,88,84
1734,Ilya,Sorokin,Ilya Sorokin,Philadelphia Destroyers,6,"$13,000,000",1493,1312,0.879,2561,2315,0.904,2426,2216,0.913,1276,1184,0.928,7756,7027,0.906,NHL,New York Islanders,93,08/04/1995,30,G,75,"6'3""",189,31,Left,2014,3,78,90,90,96,90,95,90,96,84,90,90,81,88,92,91,96,94,94,94,90
1735,Semyon,Varlamov,Semyon Varlamov,Houston Hammerheads,3,"$2,000,000",1533,1377,0.898,2487,2256,0.907,2643,2398,0.907,1806,1614,0.894,8469,7645,0.903,NHL,New York Islanders,81,04/27/1988,40,G,74,"6'2""",201,38,Left,2006,1,23,84,83,88,88,86,87,86,84,84,81,82,84,85,84,83,81,81,84,85
1736,David,Rittich,David Rittich,Houston Hammerheads,4,"$1,250,000",10,8,0.800,2487,2265,0.911,2533,2307,0.911,743,666,0.896,5773,5246,0.909,NHL,New York Islanders,79,08/19/1992,33,G,75,"6'3""",200,34,Left,N/A,N/A,N/A,82,84,83,83,86,86,85,85,83,87,86,84,83,81,83,84,84,84,82
1737,Igor,Shesterkin,Igor Shesterkin,South Dakota Spartans,1,"$13,000,000",1501,1326,0.883,2530,2305,0.911,2491,2240,0.899,1550,1422,0.917,8072,7293,0.903,NHL,New York Rangers,93,12/30/1995,31,G,73,"6'1""",199,30,Left,2014,4,118,87,92,90,91,96,92,96,88,92,95,88,90,93,83,92,94,94,93,93
1738,Jonathan,Quick,Jonathan Quick,New York Steamrollers,1,"$2,500,000",0,0,0.000,2410,2176,0.903,84,75,0.893,1636,1470,0.899,4130,3721,0.901,NHL,New York Rangers,82,01/21/1986,32,G,73,"6'1""",219,40,Left,2005,3,72,86,84,86,85,87,87,87,81,84,84,81,86,86,81,81,83,83,82,86
1739,Linus,Ullmark,Linus Ullmark,Indianapolis Ghosts,4,"$5,000,000",1482,1329,0.897,2547,2339,0.918,2703,2460,0.910,1590,1442,0.907,8322,7570,0.910,NHL,Ottawa Senators,85,07/31/1993,35,G,76,"6'4""",223,33,Left,2012,6,163,84,85,86,85,88,92,89,82,87,87,82,84,90,82,85,87,87,88,94
1740,James,Reimer,James Reimer,Fort Worth Defenders,1,"$1,250,000",19,18,0.947,2545,2336,0.918,23,22,0.957,1037,920,0.887,3624,3296,0.909,NHL,Ottawa Senators,79,03/15/1988,47,G,74,"6'2""",200,38,Left,2006,4,99,85,81,85,84,84,86,84,81,87,85,81,82,84,84,81,82,82,83,89
1741,Dan,Vladar,Dan Vladar,Cleveland Demons,5,"$4,000,000",2,2,1.000,0,0,0.000,59,54,0.915,939,844,0.899,1000,900,0.900,NHL,Philadelphia Flyers,84,08/20/1997,80,G,77,"6'5""",209,29,Left,2015,3,75,88,85,88,86,88,86,88,84,86,85,83,89,88,86,84,83,83,84,85
1742,Samuel,Ersson,Samuel Ersson,Seattle Dragons,1,"$2,000,000",0,0,0.000,0,0,0.000,54,50,0.926,718,661,0.921,772,711,0.921,NHL,Philadelphia Flyers,81,10/20/1999,33,G,75,"6'3""",194,26,Left,2018,5,143,85,80,86,85,86,85,87,82,84,81,80,85,85,86,83,87,87,82,83
1743,Arturs,Silovs,Arturs Silovs,Denver Mountain Lions,2,"$3,250,000",0,0,0.000,0,0,0.000,93,86,0.925,1077,964,0.895,1170,1050,0.897,NHL,Pittsburgh Penguins,83,03/22/2001,37,G,76,"6'4""",208,25,Left,2019,6,156,85,87,87,89,89,90,89,84,84,83,81,85,86,84,84,80,80,84,82
1744,Stuart,Skinner,Stuart Skinner,Florida Sunshine,1,"$3,250,000",0,0,0.000,0,0,0.000,2512,2289,0.911,1613,1450,0.899,4125,3739,0.906,NHL,Pittsburgh Penguins,83,11/01/1998,74,G,76,"6'4""",215,27,Left,2017,3,78,88,82,83,84,86,86,88,84,85,83,85,86,87,86,84,90,90,84,87
1745,Yaroslav,Askarov,Yaroslav Askarov,Detroit Motors,2,"$3,250,000",0,0,0.000,0,0,0.000,2441,2218,0.909,603,544,0.902,3044,2762,0.907,NHL,San Jose Sharks,83,06/16/2002,30,G,75,"6'3""",180,24,Right,2020,1,11,85,82,87,89,88,90,88,84,89,83,85,85,87,81,87,81,81,86,88
1746,Alex,Nedeljkovic,Alex Nedeljkovic,Fort Worth Defenders,6,"$2,000,000",1623,1471,0.906,2592,2380,0.918,102,97,0.951,751,688,0.916,5068,4636,0.915,NHL,San Jose Sharks,81,01/07/1996,33,G,72,"6'0""",205,30,Left,2014,2,37,85,82,86,84,88,86,87,88,85,84,88,85,85,82,81,85,85,82,88
1747,Carey,Price,Carey Price,Philadelphia Destroyers,1,"$900,000",1565,1424,0.910,92,83,0.902,0,0,0.000,0,0,0.000,1657,1507,0.909,NHL,San Jose Sharks,70,08/16/1987,31,G,75,"6'3""",217,39,Left,2005,1,5,80,80,80,80,80,80,80,84,70,87,85,70,70,70,89,75,85,89,70
1748,Joey,Daccord,Joey Daccord,St. Louis Leopards,2,"$5,000,000",0,0,0.000,106,96,0.906,22,19,0.864,1220,1113,0.912,1348,1228,0.911,NHL,Seattle Kraken,85,08/19/1996,35,G,74,"6'2""",201,30,Left,2015,7,199,88,86,91,85,89,85,88,90,87,91,90,87,87,87,85,89,89,88,86
1749,Philipp,Grubauer,Philipp Grubauer,Cleveland Demons,1,"$2,500,000",1513,1374,0.908,2514,2269,0.903,2525,2279,0.903,903,811,0.898,7455,6733,0.903,NHL,Seattle Kraken,82,11/25/1991,31,G,73,"6'1""",188,34,Left,2010,4,112,85,85,86,87,88,87,88,80,82,82,81,86,88,82,80,83,83,82,84
1750,Matt,Murray,Matt Murray,Las Vegas Vipers,1,"$2,000,000",0,0,0.000,0,0,0.000,0,0,0.000,907,795,0.877,907,795,0.877,NHL,Seattle Kraken,80,05/25/1994,30,G,77,"6'5""",220,32,Left,2012,3,83,85,85,85,83,84,85,85,85,80,80,85,85,85,84,85,75,80,85,83
1751,Jordan,Binnington,Jordan Binnington,Baltimore Oceanics,2,"$4,000,000",4,2,0.500,2454,2240,0.913,2504,2304,0.920,1696,1545,0.911,6658,6091,0.915,NHL,St. Louis Blues,84,07/11/1993,50,G,74,"6'2""",172,33,Left,2011,3,88,84,84,87,87,88,86,88,88,80,88,90,87,87,82,84,92,92,83,86
1752,Joel,Hofer,Joel Hofer,Jacksonville Blood Hounds,1,"$3,250,000",0,0,0.000,0,0,0.000,62,57,0.919,769,698,0.908,831,755,0.909,NHL,St. Louis Blues,83,07/30/2000,30,G,77,"6'5""",193,26,Left,2018,4,107,87,84,86,86,87,88,87,91,87,86,90,88,87,84,83,83,83,84,86
1753,Andrei,Vasilevskiy,Andrei Vasilevskiy,Atlanta Cobalts,5,"$14,000,000",1488,1323,0.889,2481,2278,0.918,2738,2529,0.924,1578,1454,0.921,8285,7584,0.915,NHL,Tampa Bay Lightning,94,07/25/1994,88,G,76,"6'4""",223,32,Left,2012,1,19,88,88,95,94,95,93,96,88,91,95,88,95,94,84,94,94,94,93,94
1754,Jonas,Johansson,Jonas Johansson,Honolulu Hawks,4,"$1,500,000",0,0,0.000,0,0,0.000,76,66,0.868,775,705,0.910,851,771,0.906,NHL,Tampa Bay Lightning,80,09/19/1995,31,G,77,"6'5""",220,30,Left,2014,3,61,84,82,85,84,87,87,85,83,84,82,81,86,85,81,83,82,82,82,83
1755,Joseph,Woll,Joseph Woll,Washington Admirals,1,"$5,000,000",0,0,0.000,2531,2313,0.914,2642,2419,0.916,1446,1313,0.908,6619,6045,0.913,NHL,Toronto Maple Leafs,85,07/12/1998,60,G,75,"6'3""",206,28,Left,2016,3,62,90,86,86,88,87,87,89,84,93,85,83,86,89,87,86,84,84,87,83
1756,Anthony,Stolarz,Anthony Stolarz,Denver Mountain Lions,2,"$4,000,000",15,13,0.867,2539,2306,0.908,2432,2224,0.914,1486,1352,0.910,6472,5895,0.911,NHL,Toronto Maple Leafs,84,01/20/1994,41,G,78,"6'6""",248,32,Left,2012,2,45,83,86,88,87,88,88,87,88,90,87,87,84,89,85,88,84,84,90,89
1757,Dennis,Hildeby,Dennis Hildeby,Brooklyn Bulldogs,6,"$1,500,000",0,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,NHL,Toronto Maple Leafs,80,08/19/2001,35,G,79,"6'7""",224,25,Left,2022,4,122,83,80,86,86,86,87,86,83,87,83,85,86,85,82,79,80,80,83,82
1758,Karel,Vejmelka,Karel Vejmelka,San Antonio Bandits,1,"$4,000,000",0,0,0.000,28,26,0.929,0,0,0.000,747,686,0.918,775,712,0.919,NHL,Utah Mammoth,84,05/25/1996,70,G,76,"6'4""",221,30,Right,2015,5,145,87,82,85,86,88,84,90,84,87,86,84,86,88,87,84,91,91,86,89
1759,Vitek,Vanecek,Vitek Vanecek,St. Louis Leopards,2,"$3,000,000",7,7,1.000,2494,2288,0.917,57,52,0.912,798,720,0.902,3356,3067,0.914,NHL,Utah Mammoth,80,01/09/1996,40,G,74,"6'2""",184,30,Left,2014,2,39,84,84,85,85,86,86,86,84,83,82,84,83,84,81,82,83,83,83,85
1760,Thatcher,Demko,Thatcher Demko,Seattle Dragons,5,"$8,000,000",1530,1391,0.909,2437,2230,0.915,2606,2367,0.908,1728,1551,0.898,8301,7539,0.908,NHL,Vancouver Canucks,88,12/08/1995,35,G,76,"6'4""",192,30,Left,2014,2,36,91,91,90,90,90,91,90,86,88,83,80,90,90,85,88,70,84,86,88
1761,Kevin,Lankinen,Kevin Lankinen,Arizona Heat,2,"$2,500,000",3,2,0.667,19,17,0.895,54,47,0.870,935,855,0.914,1011,921,0.911,NHL,Vancouver Canucks,82,04/28/1995,32,G,74,"6'2""",190,31,Left,N/A,N/A,N/A,85,83,88,85,86,86,86,84,88,84,82,85,86,83,83,86,86,84,86
1762,Nikita,Tolopilo,Nikita Tolopilo,Montana Miners,2,"$1,300,000",0,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,NHL,Vancouver Canucks,77,04/06/2000,60,G,78,"6'6""",229,26,Left,N/A,N/A,N/A,82,81,84,81,83,81,84,80,70,82,80,83,84,82,85,80,83,85,83
1763,Adin,Hill,Adin Hill,Brooklyn Bulldogs,4,"$4,000,000",0,0,0.000,2543,2307,0.907,2552,2318,0.908,946,845,0.893,6041,5470,0.905,NHL,Vegas Golden Knights,84,05/11/1996,33,G,76,"6'4""",222,30,Left,2015,3,76,86,83,85,85,88,90,88,84,86,85,84,85,87,89,83,87,87,87,90
1764,Carter,Hart,Carter Hart,New Orleans Whalers,7,"$3,250,000",1598,1435,0.898,2457,2244,0.913,2702,2450,0.907,1546,1391,0.900,8303,7520,0.906,NHL,Vegas Golden Knights,83,08/13/1998,79,G,74,"6'2""",181,28,Left,2016,2,48,86,86,86,86,86,86,86,86,80,86,80,86,87,89,89,80,80,88,87
1765,Akira,Schmid,Akira Schmid,Baltimore Oceanics,1,"$2,500,000",0,0,0.000,0,0,0.000,43,39,0.907,1604,1434,0.894,1647,1473,0.894,NHL,Vegas Golden Knights,82,05/12/2000,40,G,77,"6'5""",190,26,Left,2018,5,136,85,82,86,87,86,89,86,84,88,82,81,85,87,86,81,80,80,84,85
1766,Logan,Thompson,Logan Thompson,Chicago Rockets,3,"$9,000,000",0,0,0.000,2510,2280,0.908,2428,2237,0.921,1753,1602,0.914,6691,6119,0.915,NHL,Washington Capitals,89,02/25/1997,48,G,76,"6'4""",207,29,Right,N/A,N/A,N/A,86,89,88,90,93,91,93,84,90,83,81,89,92,87,89,87,87,90,86
1767,Charlie,Lindgren,Charlie Lindgren,Portland Sea Lions,4,"$2,500,000",7,4,0.571,39,35,0.897,2549,2320,0.910,1733,1562,0.901,4328,3921,0.906,NHL,Washington Capitals,82,12/18/1993,79,G,74,"6'2""",190,32,Right,N/A,N/A,N/A,82,85,88,84,86,86,87,84,88,83,81,86,86,83,83,87,87,84,82
1768,Connor,Hellebuyck,Connor Hellebuyck,Columbus Cougars,1,"$12,000,000",1594,1463,0.918,2578,2331,0.904,2532,2323,0.917,1510,1379,0.913,8214,7496,0.913,NHL,Winnipeg Jets,92,05/19/1993,37,G,76,"6'4""",207,33,Left,2012,5,130,92,91,92,93,92,91,92,86,91,92,90,90,91,85,93,95,95,92,95
1769,Eric,Comrie,Eric Comrie,Lincoln Lumberjacks,6,"$2,000,000",11,10,0.909,33,31,0.939,0,0,0.000,1665,1504,0.903,1709,1545,0.904,NHL,Winnipeg Jets,81,07/06/1995,1,G,73,"6'1""",190,31,Left,2013,2,59,87,83,86,86,85,86,85,82,82,81,80,85,84,84,83,81,81,84,84
1770,Jiri,Patera,Jiri Patera,Tennessee Wolverines,1,"$900,000",0,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0.000,AHL,Abbotsford Canucks,76,02/24/1999,30,G,75,"6'3""",212,27,Left,2017,6,161,83,83,82,82,82,85,82,80,81,81,80,81,81,82,81,80,80,83,82
1771,Calvin,Pickard,Calvin Pickard,Raleigh Wildcats,1,"$1,500,000",0,0,0.000,46,39,0.848,0,0,0.000,0,0,0.000,46,39,0.848,AHL,Bakersfield Condors,77,04/15/1992,30,G,73,"6'1""",206,34,Left,2010,2,49,84,80,83,82,84,84,84,81,85,80,81,82,82,81,80,84,84,81,83
