Game #,Day,Date,Away Team,Home Team,Away Score,Home Score,OT?
201,26,10/15/26,Chicago Rockets,Tennessee Wolverines,,,
202,26,10/15/26,Kansas City Metrostars,Charleston Tsunami,,,
203,26,10/15/26,New York Steamrollers,Atlanta Cobalts,,,
204,26,10/15/26,Baltimore Oceanics,Montana Miners,,,
205,26,10/15/26,Lincoln Lumberjacks,Oklahoma Twisters,,,
206,26,10/15/26,Nevada Archers,Arizona Heat,,,
207,26,10/15/26,Puerto Rico Toros,Indianapolis Ghosts,,,
208,26,10/15/26,New Orleans Whalers,Cleveland Demons,,,
209,27,10/16/26,Philadelphia Destroyers,Brooklyn Bulldogs,,,
210,27,10/16/26,Fort Worth Defenders,Seattle Dragons,,,
211,27,10/16/26,Chicago Rockets,Puerto Rico Toros,,,
212,27,10/16/26,Portland Sea Lions,Columbus Cougars,,,
213,27,10/16/26,South Dakota Spartans,Oklahoma Twisters,,,
214,27,10/16/26,North Dakota Bison,Iowa Rebels,,,
215,27,10/16/26,Lincoln Lumberjacks,San Antonio Bandits,,,
216,27,10/16/26,Honolulu Hawks,Indianapolis Ghosts,,,
217,28,10/17/26,Memphis Cannons,Las Vegas Vipers,,,
218,28,10/17/26,Denver Mountain Lions,Indianapolis Ghosts,,,
219,28,10/17/26,Puerto Rico Toros,Charleston Tsunami,,,
220,28,10/17/26,St. Louis Leopards,Oklahoma Twisters,,,
221,28,10/17/26,New York Steamrollers,Florida Sunshine,,,
222,28,10/17/26,Nevada Archers,Chicago Rockets,,,
223,28,10/17/26,Brooklyn Bulldogs,Long Island Blizzard,,,
224,28,10/17/26,Seattle Dragons,Cleveland Demons,,,
225,29,10/18/26,Cleveland Demons,Chicago Rockets,,,
226,29,10/18/26,Oklahoma Twisters,Raleigh Wildcats,,,
227,29,10/18/26,Washington Admirals,Indianapolis Ghosts,,,
228,29,10/18/26,Montana Miners,Seattle Dragons,,,
229,29,10/18/26,Atlanta Cobalts,Richmond Robbers,,,
230,29,10/18/26,Cincinnati Thunderbolts,Philadelphia Destroyers,,,
231,29,10/18/26,Columbus Cougars,South Dakota Spartans,,,
232,29,10/18/26,Honolulu Hawks,Detroit Motors,,,
233,30,10/19/26,Denver Mountain Lions,Honolulu Hawks,,,
234,30,10/19/26,Fort Worth Defenders,San Antonio Bandits,,,
235,30,10/19/26,South Dakota Spartans,Raleigh Wildcats,,,
236,30,10/19/26,New York Steamrollers,Richmond Robbers,,,
237,30,10/19/26,Tennessee Wolverines,Iowa Rebels,,,
238,30,10/19/26,Washington Admirals,Montana Miners,,,
239,30,10/19/26,Las Vegas Vipers,Nevada Archers,,,
240,30,10/19/26,Baltimore Oceanics,Columbus Cougars,,,
241,31,10/20/26,Atlanta Cobalts,Jacksonville Blood Hounds,,,
242,31,10/20/26,Brooklyn Bulldogs,Arizona Heat,,,
243,31,10/20/26,Nevada Archers,Memphis Cannons,,,
244,31,10/20/26,Cleveland Demons,Tennessee Wolverines,,,
245,31,10/20/26,Oklahoma Twisters,Iowa Rebels,,,
246,31,10/20/26,Richmond Robbers,Cincinnati Thunderbolts,,,
247,31,10/20/26,Philadelphia Destroyers,Raleigh Wildcats,,,
248,31,10/20/26,New York Steamrollers,Charleston Tsunami,,,
249,32,10/21/26,Baltimore Oceanics,Charleston Tsunami,,,
250,32,10/21/26,Memphis Cannons,Kansas City Metrostars,,,
251,32,10/21/26,Richmond Robbers,Raleigh Wildcats,,,
252,32,10/21/26,Portland Sea Lions,San Antonio Bandits,,,
253,32,10/21/26,South Dakota Spartans,New York Steamrollers,,,
254,32,10/21/26,Seattle Dragons,Denver Mountain Lions,,,
255,32,10/21/26,Oklahoma Twisters,St. Louis Leopards,,,
256,32,10/21/26,Florida Sunshine,Arizona Heat,,,
257,33,10/22/26,Lincoln Lumberjacks,Brooklyn Bulldogs,,,
258,33,10/22/26,San Antonio Bandits,Seattle Dragons,,,
259,33,10/22/26,Kansas City Metrostars,St. Louis Leopards,,,
260,33,10/22/26,Detroit Motors,Atlanta Cobalts,,,
261,33,10/22/26,Indianapolis Ghosts,Cleveland Demons,,,
262,33,10/22/26,South Dakota Spartans,Iowa Rebels,,,
263,33,10/22/26,New York Steamrollers,Baltimore Oceanics,,,
264,33,10/22/26,Jacksonville Blood Hounds,Florida Sunshine,,,
265,34,10/23/26,Florida Sunshine,Brooklyn Bulldogs,,,
266,34,10/23/26,Chicago Rockets,Richmond Robbers,,,
267,34,10/23/26,St. Louis Leopards,Long Island Blizzard,,,
268,34,10/23/26,Lincoln Lumberjacks,San Antonio Bandits,,,
269,34,10/23/26,Charleston Tsunami,Las Vegas Vipers,,,
270,34,10/23/26,New York Steamrollers,Cleveland Demons,,,
271,34,10/23/26,Washington Admirals,Denver Mountain Lions,,,
272,34,10/23/26,Kansas City Metrostars,South Dakota Spartans,,,
273,35,10/24/26,New York Steamrollers,Baltimore Oceanics,,,
274,35,10/24/26,San Antonio Bandits,Memphis Cannons,,,
275,35,10/24/26,Florida Sunshine,Washington Admirals,,,
276,35,10/24/26,Arizona Heat,Kansas City Metrostars,,,
277,35,10/24/26,Detroit Motors,Richmond Robbers,,,
278,35,10/24/26,Long Island Blizzard,Charleston Tsunami,,,
279,35,10/24/26,Indianapolis Ghosts,Houston Hammerheads,,,
280,35,10/24/26,Honolulu Hawks,South Dakota Spartans,,,
281,36,10/25/26,Houston Hammerheads,Kansas City Metrostars,,,
282,36,10/25/26,Detroit Motors,Puerto Rico Toros,,,
283,36,10/25/26,Seattle Dragons,Las Vegas Vipers,,,
284,36,10/25/26,Denver Mountain Lions,St. Louis Leopards,,,
285,36,10/25/26,Charleston Tsunami,New York Steamrollers,,,
286,36,10/25/26,Baltimore Oceanics,Portland Sea Lions,,,
287,36,10/25/26,Long Island Blizzard,Jacksonville Blood Hounds,,,
288,36,10/25/26,New Orleans Whalers,Lincoln Lumberjacks,,,
289,37,10/26/26,Long Island Blizzard,Montana Miners,,,
290,37,10/26/26,Cleveland Demons,Columbus Cougars,,,
291,37,10/26/26,Richmond Robbers,Raleigh Wildcats,,,
292,37,10/26/26,Tennessee Wolverines,Atlanta Cobalts,,,
293,37,10/26/26,Kansas City Metrostars,Denver Mountain Lions,,,
294,37,10/26/26,Memphis Cannons,Iowa Rebels,,,
295,37,10/26/26,San Antonio Bandits,Arizona Heat,,,
296,37,10/26/26,Portland Sea Lions,Washington Admirals,,,
297,38,10/27/26,Columbus Cougars,Cleveland Demons,,,
298,38,10/27/26,Raleigh Wildcats,Philadelphia Destroyers,,,
299,38,10/27/26,Oklahoma Twisters,Lincoln Lumberjacks,,,
300,38,10/27/26,Baltimore Oceanics,New York Steamrollers,,,
301,38,10/27/26,Cincinnati Thunderbolts,Atlanta Cobalts,,,
302,38,10/27/26,St. Louis Leopards,Memphis Cannons,,,
303,38,10/27/26,Portland Sea Lions,Seattle Dragons,,,
304,38,10/27/26,North Dakota Bison,Houston Hammerheads,,,
305,39,10/28/26,South Dakota Spartans,Kansas City Metrostars,,,
306,39,10/28/26,Long Island Blizzard,Raleigh Wildcats,,,
307,39,10/28/26,Oklahoma Twisters,Jacksonville Blood Hounds,,,
308,39,10/28/26,Denver Mountain Lions,Iowa Rebels,,,
309,39,10/28/26,Philadelphia Destroyers,North Dakota Bison,,,
310,39,10/28/26,Honolulu Hawks,Memphis Cannons,,,
311,39,10/28/26,Florida Sunshine,New York Steamrollers,,,
312,39,10/28/26,San Antonio Bandits,Baltimore Oceanics,,,
313,40,10/29/26,Nevada Archers,Columbus Cougars,,,
314,40,10/29/26,North Dakota Bison,Fort Worth Defenders,,,
315,40,10/29/26,Philadelphia Destroyers,Arizona Heat,,,
316,40,10/29/26,Las Vegas Vipers,Honolulu Hawks,,,
317,40,10/29/26,Iowa Rebels,Houston Hammerheads,,,
318,40,10/29/26,Richmond Robbers,Portland Sea Lions,,,
319,40,10/29/26,Detroit Motors,Chicago Rockets,,,
320,40,10/29/26,Puerto Rico Toros,New Orleans Whalers,,,
321,41,10/30/26,Iowa Rebels,New York Steamrollers,,,
322,41,10/30/26,Nevada Archers,North Dakota Bison,,,
323,41,10/30/26,Fort Worth Defenders,Kansas City Metrostars,,,
324,41,10/30/26,Baltimore Oceanics,Cleveland Demons,,,
325,41,10/30/26,Brooklyn Bulldogs,Philadelphia Destroyers,,,
326,41,10/30/26,Lincoln Lumberjacks,St. Louis Leopards,,,
327,41,10/30/26,Charleston Tsunami,Columbus Cougars,,,
328,41,10/30/26,Atlanta Cobalts,Detroit Motors,,,
329,42,10/31/26,Detroit Motors,Puerto Rico Toros,,,
330,42,10/31/26,Iowa Rebels,Fort Worth Defenders,,,
331,42,10/31/26,San Antonio Bandits,Montana Miners,,,
332,42,10/31/26,Seattle Dragons,Chicago Rockets,,,
333,42,10/31/26,Oklahoma Twisters,Lincoln Lumberjacks,,,
334,42,10/31/26,Cleveland Demons,Cincinnati Thunderbolts,,,
335,42,10/31/26,St. Louis Leopards,South Dakota Spartans,,,
336,42,10/31/26,Washington Admirals,Honolulu Hawks,,,
337,43,11/1/26,Columbus Cougars,Philadelphia Destroyers,,,
338,43,11/1/26,Florida Sunshine,Raleigh Wildcats,,,
339,43,11/1/26,Jacksonville Blood Hounds,Long Island Blizzard,,,
340,43,11/1/26,Houston Hammerheads,Baltimore Oceanics,,,
341,43,11/1/26,Indianapolis Ghosts,Iowa Rebels,,,
342,43,11/1/26,Brooklyn Bulldogs,Chicago Rockets,,,
343,43,11/1/26,Cleveland Demons,Charleston Tsunami,,,
344,43,11/1/26,Richmond Robbers,Washington Admirals,,,
345,44,11/2/26,Memphis Cannons,St. Louis Leopards,,,
346,44,11/2/26,Las Vegas Vipers,Honolulu Hawks,,,
347,44,11/2/26,South Dakota Spartans,Oklahoma Twisters,,,
348,44,11/2/26,Lincoln Lumberjacks,Fort Worth Defenders,,,
349,44,11/2/26,Puerto Rico Toros,Atlanta Cobalts,,,
350,44,11/2/26,Charleston Tsunami,Cleveland Demons,,,
351,44,11/2/26,Philadelphia Destroyers,Columbus Cougars,,,
352,44,11/2/26,Detroit Motors,Houston Hammerheads,,,
353,45,11/3/26,New Orleans Whalers,Philadelphia Destroyers,,,
354,45,11/3/26,New York Steamrollers,Portland Sea Lions,,,
355,45,11/3/26,Jacksonville Blood Hounds,Indianapolis Ghosts,,,
356,45,11/3/26,Washington Admirals,Arizona Heat,,,
357,45,11/3/26,Long Island Blizzard,Honolulu Hawks,,,
358,45,11/3/26,Kansas City Metrostars,Fort Worth Defenders,,,
359,45,11/3/26,Lincoln Lumberjacks,Memphis Cannons,,,
360,45,11/3/26,St. Louis Leopards,San Antonio Bandits,,,
361,46,11/4/26,Arizona Heat,Montana Miners,,,
362,46,11/4/26,Fort Worth Defenders,Portland Sea Lions,,,
363,46,11/4/26,Raleigh Wildcats,Seattle Dragons,,,
364,46,11/4/26,Florida Sunshine,Atlanta Cobalts,,,
365,46,11/4/26,Honolulu Hawks,San Antonio Bandits,,,
366,46,11/4/26,Columbus Cougars,Puerto Rico Toros,,,
367,46,11/4/26,Cleveland Demons,Detroit Motors,,,
368,46,11/4/26,Iowa Rebels,Lincoln Lumberjacks,,,
369,47,11/5/26,Montana Miners,Atlanta Cobalts,,,
370,47,11/5/26,North Dakota Bison,Arizona Heat,,,
371,47,11/5/26,Columbus Cougars,Puerto Rico Toros,,,
372,47,11/5/26,Lincoln Lumberjacks,Houston Hammerheads,,,
373,47,11/5/26,Fort Worth Defenders,Denver Mountain Lions,,,
374,47,11/5/26,Charleston Tsunami,Portland Sea Lions,,,
375,47,11/5/26,Kansas City Metrostars,Raleigh Wildcats,,,
376,47,11/5/26,Oklahoma Twisters,South Dakota Spartans,,,
377,48,11/6/26,Honolulu Hawks,Washington Admirals,,,
378,48,11/6/26,Kansas City Metrostars,Oklahoma Twisters,,,
379,48,11/6/26,South Dakota Spartans,San Antonio Bandits,,,
380,48,11/6/26,Cincinnati Thunderbolts,Detroit Motors,,,
381,48,11/6/26,Charleston Tsunami,Atlanta Cobalts,,,
382,48,11/6/26,Nevada Archers,Las Vegas Vipers,,,
383,48,11/6/26,New Orleans Whalers,Baltimore Oceanics,,,
384,48,11/6/26,Seattle Dragons,Lincoln Lumberjacks,,,
385,49,11/7/26,Honolulu Hawks,Fort Worth Defenders,,,
386,49,11/7/26,Charleston Tsunami,Detroit Motors,,,
387,49,11/7/26,Richmond Robbers,Nevada Archers,,,
388,49,11/7/26,Las Vegas Vipers,Seattle Dragons,,,
389,49,11/7/26,Iowa Rebels,Kansas City Metrostars,,,
390,49,11/7/26,Cleveland Demons,New Orleans Whalers,,,
391,49,11/7/26,San Antonio Bandits,Lincoln Lumberjacks,,,
392,49,11/7/26,New York Steamrollers,Arizona Heat,,,
393,50,11/8/26,Nevada Archers,North Dakota Bison,,,
394,50,11/8/26,Denver Mountain Lions,Memphis Cannons,,,
395,50,11/8/26,Honolulu Hawks,Portland Sea Lions,,,
396,50,11/8/26,Arizona Heat,Seattle Dragons,,,
397,50,11/8/26,Columbus Cougars,Atlanta Cobalts,,,
398,50,11/8/26,New York Steamrollers,Brooklyn Bulldogs,,,
399,50,11/8/26,Indianapolis Ghosts,Florida Sunshine,,,
400,50,11/8/26,Raleigh Wildcats,Jacksonville Blood Hounds,,,
401,51,11/9/26,Long Island Blizzard,Baltimore Oceanics,,,
402,51,11/9/26,Seattle Dragons,Nevada Archers,,,
403,51,11/9/26,San Antonio Bandits,St. Louis Leopards,,,
404,51,11/9/26,Detroit Motors,Fort Worth Defenders,,,
405,51,11/9/26,Arizona Heat,Columbus Cougars,,,
406,51,11/9/26,South Dakota Spartans,Iowa Rebels,,,
407,51,11/9/26,Philadelphia Destroyers,Richmond Robbers,,,
408,51,11/9/26,Chicago Rockets,Lincoln Lumberjacks,,,
409,52,11/10/26,Houston Hammerheads,Las Vegas Vipers,,,
410,52,11/10/26,Puerto Rico Toros,Cleveland Demons,,,
411,52,11/10/26,Baltimore Oceanics,Florida Sunshine,,,
412,52,11/10/26,Seattle Dragons,Iowa Rebels,,,
413,52,11/10/26,Oklahoma Twisters,Fort Worth Defenders,,,
414,52,11/10/26,Charleston Tsunami,Cincinnati Thunderbolts,,,
415,52,11/10/26,Montana Miners,Columbus Cougars,,,
416,52,11/10/26,Long Island Blizzard,Chicago Rockets,,,
417,53,11/11/26,Columbus Cougars,New Orleans Whalers,,,
418,53,11/11/26,Atlanta Cobalts,Raleigh Wildcats,,,
419,53,11/11/26,Montana Miners,Oklahoma Twisters,,,
