Team Name,City/Location,Team Nickname,Play by Play Team Name,Abbreviation,Arena Name,Goalies Use Team Colors,Owner Spending Rating,Owner Success Rating,Owner Patience Rating,Federal Tax Rate,State Tax Rate,Team Prestige,Market Size,Local Fan Base,National Fan Base,Local Popularity,National Popularity,Concession Level,Club Seating Level,Team Store Level,Parking Lot Level,Team Color 1,Hex 1,Color 1,Team Color 2,Color 2,Team Color 3,Color 3,Primary Logo,L1 Section 1,L1 Section 2,L1 Section 3,L1 Section 4,L1 Section 5,L1 Section 6,L1 Section 7,L1 Section 8,L1 Section 9,L1 Section 10,L1 Section 11,L1 Section 12,L1 Section 13,Secondary Logo,L2 Section 1,L2 Section 2,L2 Section 3,L2 Section 4,L2 Section 5,L2 Section 6,L2 Section 7,L2 Section 8,L2 Section 9,L2 Section 10,L2 Section 11,L2 Section 12,L2 Section 13,L2 Section 14,L2 Section 15,Tertiary Logo,L3 Section 1,L3 Section 2,L3 Section 3,L3 Section 4,L3 Section 5,L3 Section 6,L3 Section 7,L3 Section 8,L3 Section 9,L3 Section 10,Helmet Color 1,Helmet Color 2,Helmet Color 3,Helmet Logo,Helmet Number,Helmet Shine,Glove 1,Glove 2,Glove 3,Glove 4,Glove 5,Glove 6,Glove 7,Glove 8,Glove 9,Glove 10,Glove 11,Glove 12,Glove Shine,Jersey Style,Jersey 1,Jersey 2,Jersey 3,Jersey 4,Jersey 5,Jersey 6,Jersey 7,Jersey 8,Jersey 9,Jersey 10,Jersey 11,Jersey 12,Jersey 13,Jersey 14,Jersey 15,Main Logo,Left Shoulder,Right Shoulder,Font Style,Font 1,Font 2,Font 3,Font 4,Font 5,Font 6,Font 7,Font 8,Font 9,Font 10,Font 11,Font 12,Pant Style,Pant 1,Pant 2,Pant 3,Pant 4,Pant 5,Left Pant Logo,Right Pant Logo,Sock Style,Sock 1,Sock 2,Sock 3,Sock 4,Helmet Color 1,Helmet Color 2,Helmet Color 3,Helmet Logo,Helmet Number,Helmet Shine,Glove 1,Glove 2,Glove 3,Glove 4,Glove 5,Glove 6,Glove 7,Glove 8,Glove 9,Glove 10,Glove 11,Glove 12,Glove Shine,Jersey Style,Jersey 1,Jersey 2,Jersey 3,Jersey 4,Jersey 5,Jersey 6,Jersey 7,Jersey 8,Jersey 9,Jersey 10,Jersey 11,Jersey 12,Jersey 13,Jersey 14,Jersey 15,Main Logo,Left Shoulder,Right Shoulder,Font Style,Font 1,Font 2,Font 3,Font 4,Font 5,Font 6,Font 7,Font 8,Font 9,Font 10,Font 11,Font 12,Pant Style,Pant 1,Pant 2,Pant 3,Pant 4,Pant 5,Left Pant Logo,Right Pant Logo,Sock Style,Sock 1,Sock 2,Sock 3,Sock 4,Helmet Color 1,Helmet Color 2,Helmet Color 3,Helmet Logo,Helmet Number,Helmet Shine,Glove 1,Glove 2,Glove 3,Glove 4,Glove 5,Glove 6,Glove 7,Glove 8,Glove 9,Glove 10,Glove 11,Glove 12,Glove Shine,Jersey Style,Jersey 1,Jersey 2,Jersey 3,Jersey 4,Jersey 5,Jersey 6,Jersey 7,Jersey 8,Jersey 9,Jersey 10,Jersey 11,Jersey 12,Jersey 13,Jersey 14,Jersey 15,Main Logo,Left Shoulder,Right Shoulder,Font Style,Font 1,Font 2,Font 3,Font 4,Font 5,Font 6,Font 7,Font 8,Font 9,Font 10,Font 11,Font 12,Pant Style,Pant 1,Pant 2,Pant 3,Pant 4,Pant 5,Left Pant Logo,Right Pant Logo,Sock Style,Sock 1,Sock 2,Sock 3,Sock 4,Arena #,Wall 1,Wall 2,Wall 3,Tunnel 1,Tunnel 2,Tunnel 3,Roof,Stair 1,Stair 2,Railing,Goal Post,Seat Pattern,Seats 1,Seats 2,Seats 3,Seats 4,Seats 5,Seats 6,Boards/Glass,Stanchion Color,Scoreboard,Scoreboard 1,Scoreboard 2,Scoreboard 3,Netting Color,Center Ice Line,Center Ice Logo,Center Ice Layout,Goalie Spotlight,Skater Spotlight,Skater Spotlight Color,Goal Stanchion Effects,GSE Color 1,GSE Color 2,Signature Effects,Signature Effects Color,Hat Trick,Goal Light,Intro Stanchion Effect,ISE Color 1,ISE Color 2,Intro Effect Type,Intro Effect Type Color,On Ice Projections,Glow Stick Color,National Anthems,Prop,Powerplay Pres.,Win Presentation,Rink Announcer,Goal Horn,Goal Song,Powerplay Song,Win Song,Mascot Name,Mascot #,Show Mascot,Mascot Head,Head 1,Head 2,Head 3,Head 4,Head 5,Head 6,Head 7,Head 8,Head 9,Head 10,Head 11,Head 12,Mascot Body,Body 1,Body 2,Body 3,Body 4,Body 5,Body 6,Original Team Creator
Motors,Detroit,Motors,Monsters,DET,Advance Auto Parts Arena,Yes,10,10,10,0.0%,0.0%,Elite,Large,Hardcore,Hardcore,Elite,Elite,3,3,3,3,"(158,11,15)",#9E0B0F,Red,"(26,26,26)",Black,"(232,232,232)",White,87,1,2,3,1,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Vintage Font, Plain Text D",3,1,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Ducks,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,2,3,N/A,Yes,N/A,1,1,2,1,1,1,3,1,1,1,1,1,N/A,15,1,2,1,1,2,3,2,3,1,2,2,N/A,N/A,N/A,N/A,Primary,N/A,N/A,5,3,3,3,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,1,N/A,N/A,N/A,N/A,N/A,N/A,5,1,3,2,3,3,3,2,N/A,Yes,N/A,1,1,2,1,1,1,3,1,1,1,1,1,N/A,15,3,2,1,3,3,3,2,3,2,3,1,N/A,N/A,N/A,N/A,Primary,N/A,N/A,5,1,2,3,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,1,N/A,N/A,N/A,N/A,N/A,N/A,5,3,1,3,2,1,3,3,N/A,Yes,N/A,1,3,1,1,1,1,3,1,1,1,3,3,N/A,43,1,1,1,3,3,3,3,3,3,1,1,1,N/A,N/A,N/A,Secondary,Primary,Primary,41,3,1,3,3,3,1,3,3,1,3,N/A,N/A,1,1,N/A,N/A,N/A,N/A,N/A,N/A,11,1,3,3,N/A,1,1,2,1,1,2,3,1,1,1,3,1,1,1,2,1,1,3,2,LED,1,10,1,2,3,Black,66,Primary,1,N/A,6,1,3,1,3,Scoreboard Fire 1,1,Hats,Box,1,1,N/A,Scoreboard Fire 3,1,Interdimensional,1,USA,7,1,Chain Reaction,On,"Treble (Truck 2), 2 Blasts (MlLs), Flare (Motorcycle 1)",Country - Roadhouse Rules,Dubstep - Pixel,Electronic - Push The Volume,Henry,13,Yes,6,1,2,1,1,1,3,N/A,N/A,N/A,N/A,N/A,N/A,1,1,2,1,1,1,3,Ben
Sunshine,Florida,Sunshine,Sunny Side,FLA,Truist Stadium,Yes,10,10,10,0.0%,0.0%,Elite,Large,Hardcore,Hardcore,Elite,Elite,3,3,3,3,"(204,241,16)",#CCF110,Yellow,"(241,140,16)",Orange,"(26,26,26)",Black,85,1,2,3,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,145,1,3,1,2,1,2,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Ducks,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,3,3,Primary,Yes,N/A,1,3,2,3,1,2,3,1,1,1,3,1,N/A,66,1,3,1,1,2,3,1,3,3,2,N/A,N/A,N/A,N/A,N/A,Primary,Secondary,Secondary,8,2,3,3,1,3,3,2,N/A,N/A,N/A,N/A,N/A,1,1,N/A,N/A,N/A,N/A,N/A,N/A,30,1,2,N/A,N/A,White,1,3,Primary,Yes,N/A,White,1,2,3,1,White,3,1,1,White,1,1,N/A,66,White,1,White,3,1,1,White,1,1,3,N/A,N/A,N/A,N/A,N/A,Primary,Secondary,Secondary,8,3,2,3,2,3,3,1,N/A,N/A,N/A,N/A,N/A,1,1,N/A,N/A,N/A,N/A,N/A,N/A,30,White,1,N/A,N/A,N/A,N/A,N/A,Primary,Yes,Yellow,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yellow,66,3,3,3,1,1,3,3,3,3,1,N/A,N/A,N/A,N/A,N/A,Secondary,Primary,Primary,8,3,1,1,3,1,3,1,N/A,N/A,N/A,N/A,N/A,1,3,N/A,N/A,N/A,N/A,Primary,Primary,30,3,1,N/A,N/A,2,1,1,1,1,3,2,1,1,1,3,1,1,1,1,1,1,1,1,LED,1,10,1,3,2,Black,66,Primary,1,N/A,1,1,3,1,2,Goal Light Smoke,1,Plastic Rats,Box,1,1,N/A,Scoreboard Fire 1,1,Synthwave,1,USA,14,4,Hammer Smash,On,"Mid (Boat Horn 5), 3 Blasts (LsSsM), Flare (Chimes 2)",Electronic - Blitz Bytes,Dubstep - Pixel,Electronic - Remnants Of A Dream,Summer,69,Yes,5,1,2,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,1,2,1,1,1,N/A,Ryan
Defenders,Fort Worth,Defenders,Desperados,FW,Boeing Stadium,Yes,10,10,10,0.0%,0.0%,Elite,Large,Hardcore,Hardcore,Elite,Elite,3,3,3,3,"(16,23,239)",#1017EF,Blue,"(241,22,16)",Red,"(232,232,232)",White,92,2,1,Black,Dark Blue,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Ducks,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Ducks,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,1,3,N/A,Yes,N/A,1,1,2,1,1,1,3,1,1,1,1,1,N/A,43,1,2,1,1,3,3,2,3,2,1,2,1,N/A,N/A,N/A,Primary,N/A,N/A,27,3,2,3,3,2,3,3,3,N/A,N/A,N/A,N/A,17,2,1,1,1,N/A,N/A,N/A,7,1,2,N/A,N/A,3,3,1,N/A,Yes,N/A,1,1,2,1,1,1,3,1,1,1,1,1,N/A,43,3,1,3,3,2,1,2,1,2,1,1,2,N/A,N/A,N/A,Primary,N/A,N/A,27,2,1,1,2,1,1,1,1,N/A,N/A,N/A,N/A,17,2,1,3,1,N/A,N/A,N/A,7,3,2,N/A,N/A,2,1,3,N/A,Yes,N/A,2,1,3,1,2,2,3,1,2,2,1,3,N/A,41,1,2,1,1,3,1,2,3,2,1,2,1,N/A,N/A,N/A,Primary,N/A,N/A,9,2,3,2,3,3,1,2,3,N/A,N/A,N/A,N/A,1,2,N/A,N/A,N/A,N/A,N/A,N/A,14,1,1,2,3,7,1,2,1,1,2,3,1,2,2,3,2,4,1,1,1,2,3,2,LED,1,3,1,2,3,White,66,Primary,6,N/A,7,1,6,2,1,Scoreboard Fire 1,1,Hats,Box,1,2,N/A,Goal Light Smoke,1,Interdimensional,1,USA,1,4,Bowling,On,"Bass (Firetruck 1) + Mid (Car Horn 1), 2 Blasts (LlLs)",Hip Hop - Dont Quit Never Stop,Dubstep - Pixel,Country - Texas Holdum,Defender,43,Yes,14,1,2,1,1,1,3,2,3,2,N/A,N/A,N/A,1,1,2,1,1,1,3,Ben
Hawks,Honolulu,Hawks,Hawks,HON,Walmart Arena,Yes,10,10,10,0.0%,0.0%,Elite,Large,Hardcore,Hardcore,Elite,Elite,3,3,3,3,"(255,242,0)",#FFF200,Yellow,"(26,26,26)",Black,"(232,232,232)",White,20,1,2,3,1,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Ducks,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Ducks,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,1,3,Primary,Yes,N/A,1,1,2,1,1,1,2,1,1,1,1,1,N/A,17,2,1,2,2,1,1,2,1,2,2,1,N/A,N/A,N/A,N/A,Primary,N/A,N/A,33,1,2,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,1,N/A,N/A,N/A,N/A,N/A,N/A,25,2,1,1,N/A,3,3,2,N/A,Yes,N/A,1,1,2,1,3,3,2,1,1,1,1,1,N/A,17,3,1,2,2,3,3,2,2,1,2,2,N/A,N/A,N/A,N/A,Primary,N/A,N/A,33,2,2,1,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,2,N/A,N/A,N/A,N/A,N/A,N/A,25,3,1,1,N/A,2,1,3,N/A,Yes,N/A,2,2,1,2,2,2,1,2,2,2,2,2,N/A,86,2,2,2,1,1,2,2,2,2,N/A,N/A,N/A,N/A,N/A,N/A,Primary,N/A,N/A,23,1,1,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,2,N/A,N/A,N/A,N/A,N/A,N/A,1,2,1,2,N/A,6,1,2,1,1,2,3,1,1,1,2,1,1,1,3,2,1,3,2,LED,1,8,1,2,3,Black,66,Primary,6,N/A,7,1,1,1,N/A,Scoreboard Smoke 1,1,Plastic Rats,Bar,1,1,N/A,Scoreboard Smoke 1,1,Synthwave,1,USA,16,2,Chain Reaction,On,"Bass (Boat Horn 5) + Mid (Boat Horn 5) + Treble (Boat Horn 5), 3 Blasts (LsSsL), Flare (Hawky Hawk 2)",Blues Jazz - All In,Dubstep - Pixel,Electronic - Chase A Rainbow,Harvey,49,Yes,17,1,2,1,1,1,3,2,3,2,3,2,N/A,1,1,2,1,1,1,3,Ben
Hammerheads,Houston,Hammerheads,Hammerheads,HOU,GameStop Arena,Yes,10,10,10,0.0%,0.0%,Elite,Large,Hardcore,Hardcore,Elite,Elite,3,3,3,3,"(26,56,112)",#1A3870,Blue,"(95,95,95)",Gray,"(26,26,26)",Black,101,1,2,3,1,2,2,1,1,N/A,N/A,N/A,N/A,N/A,9,2,1,White,White,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Ducks,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,2,2,N/A,Yes,N/A,1,3,2,2,1,2,3,1,1,1,1,1,N/A,26,1,2,1,1,1,3,2,1,3,2,2,N/A,N/A,N/A,N/A,Primary,N/A,N/A,12,2,3,2,2,3,2,3,N/A,N/A,N/A,N/A,N/A,1,2,N/A,N/A,N/A,N/A,N/A,N/A,3,1,2,3,N/A,White,1,1,N/A,Yes,N/A,White,1,2,1,White,1,2,White,White,White,White,White,N/A,26,White,1,White,White,White,2,White,1,2,1,1,N/A,N/A,N/A,N/A,Primary,N/A,N/A,12,1,2,1,1,2,1,2,N/A,N/A,N/A,N/A,N/A,1,1,N/A,N/A,N/A,N/A,N/A,N/A,3,White,1,2,N/A,2,1,1,N/A,Yes,N/A,2,White,1,White,2,1,White,2,2,2,White,1,N/A,26,2,1,2,2,2,White,2,1,White,1,1,N/A,N/A,N/A,N/A,Secondary,Primary,Primary,12,1,White,White,1,White,1,White,N/A,N/A,N/A,N/A,N/A,1,1,N/A,N/A,N/A,N/A,N/A,N/A,3,2,White,1,N/A,3,1,2,1,1,2,3,1,1,1,2,1,1,1,3,2,1,3,2,LED,1,6,1,2,3,Black,66,Primary,6,N/A,8,1,1,1,N/A,Scoreboard Smoke 1,1,Fish,Box,1,1,N/A,Scoreboard Smoke 1,1,Tidal Effect,1,USA,10,3,Tunnel Of Celly,On,"Treble (Boat Horn 2), 3 Blasts (MsSsL), Flare (Whale Spout)",Hard Rock - Get Rocked,Dubstep - Pixel,Pop - Flights Of Fancy,Hammer,32,Yes,8,1,2,1,1,1,3,2,N/A,N/A,N/A,N/A,N/A,1,1,2,1,1,1,3,Chris
Ghosts,Indianapolis,Ghosts,Goats,IND,GEICO Garden,Yes,10,10,10,0.0%,0.0%,Elite,Large,Hardcore,Hardcore,Elite,Elite,3,3,3,3,"(16,241,201)",#10F1C9,Cyan,"(26,26,26)",Black,"(232,232,232)",White,8,1,2,1,3,3,1,2,2,1,N/A,N/A,N/A,N/A,8,1,2,2,3,3,1,2,2,1,N/A,N/A,N/A,N/A,N/A,N/A,Ducks,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,2,2,Primary,Yes,N/A,1,1,2,2,1,2,3,1,1,1,2,1,N/A,28,1,2,1,1,2,3,2,3,3,1,1,N/A,N/A,N/A,N/A,Primary,N/A,N/A,13,2,3,2,2,3,2,3,N/A,N/A,N/A,N/A,N/A,1,2,N/A,N/A,N/A,N/A,N/A,N/A,11,1,2,3,N/A,3,3,2,Primary,Yes,N/A,3,3,2,2,3,1,2,3,3,3,2,3,N/A,28,3,1,3,2,3,2,1,2,3,3,3,N/A,N/A,N/A,N/A,Secondary,N/A,N/A,13,2,1,2,2,1,2,1,N/A,N/A,N/A,N/A,N/A,1,1,N/A,N/A,N/A,N/A,N/A,N/A,11,3,1,2,N/A,2,1,1,N/A,Yes,N/A,2,1,2,1,2,2,1,2,2,2,1,2,N/A,28,2,2,1,1,2,1,1,2,1,2,2,N/A,N/A,N/A,N/A,Primary,N/A,N/A,13,1,2,1,2,1,1,2,N/A,N/A,N/A,N/A,N/A,1,2,N/A,N/A,N/A,N/A,N/A,N/A,11,2,1,2,N/A,7,1,1,1,1,2,3,1,1,1,3,2,1,1,3,2,1,3,2,LED,1,1,1,2,3,White,66,Primary,6,N/A,5,1,2,1,N/A,Goal Light Smoke,1,Hats,Box,1,1,N/A,Scoreboard Smoke 1,1,Boom Box,1,USA,15,1,Team Salute,On,"Treble (Air Horn 1), 3 Blasts (MsMsM), Flare (Alarm 2)",Electronic - Light The Lamp,Dubstep - Pixel,Hip Hop - Tear It Down,Spooky,52,Yes,5,1,2,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,1,2,1,1,1,2,Ryan
Rebels,Iowa,Rebels,Rebels,IOA,Quaker Oats Complex,Yes,10,10,10,0.0%,0.0%,Elite,Large,Hardcore,Hardcore,Elite,Elite,3,3,3,3,"(158,11,15)",#9E0B0F,Red,"(232,232,232)",White,"(218,86,58)",Salmon,138,3,Black,2,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,138,3,Black,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Ducks,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,2,3,N/A,Yes,N/A,1,3,2,3,1,3,2,1,1,1,1,1,N/A,41,1,3,1,2,2,2,2,3,1,2,2,1,N/A,N/A,N/A,Primary,N/A,N/A,28,2,3,2,2,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,1,N/A,N/A,N/A,N/A,N/A,N/A,3,1,3,2,N/A,2,2,1,Secondary,Yes,N/A,2,1,3,1,2,1,3,2,2,2,2,2,N/A,41,2,1,3,2,3,1,3,1,2,2,2,1,N/A,N/A,N/A,Primary,N/A,N/A,28,1,3,1,2,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,1,N/A,N/A,N/A,N/A,N/A,N/A,3,2,1,3,N/A,3,1,1,N/A,Yes,N/A,3,1,3,1,3,3,1,3,3,3,1,3,N/A,41,3,3,3,1,1,1,1,1,3,1,1,3,N/A,N/A,N/A,Secondary,N/A,N/A,28,1,3,1,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,1,N/A,N/A,N/A,N/A,N/A,N/A,3,3,3,1,N/A,1,1,1,1,1,3,2,1,1,1,2,1,2,1,3,1,1,3,3,LED,1,7,1,2,3,Black,66,Primary,1,N/A,8,1,2,2,N/A,Goal Light Smoke,1,Hats,Classic,1,1,N/A,Scoreboard Smoke 1,1,Firestorm,1,USA,13,4,Tunnel Of Celly,On,"Bass (Truck 3), 3 Blasts (MlSsL), Flare (Glass Shatter)",Electronic - Let The Bass Drum,Dubstep - Pixel,Country - Dynamite Fishing,Trouble,17,Yes,13,1,3,1,3,1,2,2,3,N/A,N/A,N/A,N/A,1,1,3,3,2,1,3,Chris
Blood Hounds,Jacksonville,Blood Hounds,Hounds,JAX,Skittles Arena,Yes,10,10,10,0.0%,0.0%,Elite,Large,Hardcore,Hardcore,Elite,Elite,3,3,3,3,"(239,35,16)",#EF2310,Red,"(26,26,26)",Black,"(232,232,232)",White,34,1,2,3,2,3,2,1,1,N/A,N/A,N/A,N/A,N/A,34,1,2,1,2,2,1,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Ducks,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,2,3,Primary,Yes,N/A,1,2,3,2,1,2,3,1,1,1,2,3,N/A,20,1,2,1,3,1,3,2,3,2,1,1,2,3,N/A,N/A,Primary,N/A,N/A,17,2,1,3,3,2,1,3,2,1,2,N/A,N/A,1,2,N/A,N/A,N/A,N/A,N/A,N/A,12,1,2,3,N/A,3,1,2,Primary,Yes,N/A,3,3,3,1,3,2,1,3,3,3,3,3,N/A,20,3,1,3,2,3,3,1,2,3,3,3,1,2,N/A,N/A,Primary,N/A,N/A,17,1,3,2,2,1,3,2,1,3,2,N/A,N/A,1,1,N/A,N/A,N/A,N/A,N/A,N/A,12,3,3,2,N/A,2,1,1,Secondary,Yes,N/A,2,1,2,1,2,1,2,2,2,2,2,2,N/A,20,2,1,2,2,1,1,2,1,2,2,1,2,1,N/A,N/A,Secondary,N/A,N/A,17,1,2,1,1,2,1,1,1,2,1,N/A,N/A,1,1,N/A,N/A,N/A,N/A,N/A,N/A,12,2,2,1,N/A,9,1,2,1,1,2,3,2,1,1,3,1,2,1,3,2,2,3,1,LED,1,7,1,2,3,Black,66,Primary,6,N/A,7,1,1,1,N/A,Scoreboard Fire 3,1,Hats,Bar,1,1,N/A,Scoreboard Smoke 1,1,Firestorm,1,USA,3,2,Board Smash,On,"Bass (Ship Horn 1), 3 Blasts (MsSsL), Flare (Growl)",Punk Rock - The Moon,Dubstep - Pixel,Rock - Raw Talent,Hound,79,Yes,3,1,1,2,1,2,3,1,2,1,1,2,N/A,1,1,3,2,3,1,2,Ryan
Metrostars,Kansas City,Metrostars,Stars,KC,Nissan Megadome,Yes,10,10,10,0.0%,0.0%,Elite,Large,Hardcore,Hardcore,Elite,Elite,3,3,3,3,"(0,88,38)",#005826,Green,"(26,26,26)",Black,"(232,232,232)",White,13,1,2,3,3,3,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13,1,2,1,1,Red,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Ducks,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,2,3,Primary,Yes,N/A,1,2,3,1,1,2,3,1,1,1,1,1,N/A,8,1,2,1,3,1,3,2,3,2,1,1,2,2,N/A,N/A,Primary,N/A,N/A,16,2,3,3,1,3,2,3,N/A,N/A,N/A,N/A,N/A,1,2,N/A,N/A,N/A,N/A,N/A,N/A,22,1,3,2,N/A,3,3,1,Primary,Yes,N/A,3,2,1,1,3,1,2,3,3,3,3,3,N/A,8,3,1,3,3,3,2,2,1,3,1,2,3,3,N/A,N/A,Primary,N/A,N/A,16,1,2,2,3,2,1,2,N/A,N/A,N/A,N/A,N/A,1,1,N/A,N/A,N/A,N/A,N/A,N/A,22,3,1,2,N/A,N/A,N/A,N/A,Secondary,Yes,Dark Green,2,2,1,1,2,2,1,2,2,2,2,1,N/A,8,2,1,2,2,2,2,2,1,2,2,2,1,2,N/A,N/A,Secondary,N/A,N/A,16,1,2,3,2,1,2,3,N/A,N/A,N/A,N/A,N/A,1,1,N/A,N/A,N/A,N/A,N/A,N/A,22,2,2,1,N/A,10,3,2,1,1,2,3,2,1,1,1,1,1,1,3,2,1,3,2,LED,1,4,1,2,3,Black,66,Primary,6,N/A,8,1,4,3,1,Scoreboard Fire 3,1,Hats,Bar,1,3,N/A,Scoreboard Fire 3,1,Boom Box,1,USA,4,2,Chain Reaction,On,"Treble (Boat Horn 4), 2 Blasts (LsLs)",Electronic - Red Tribe,Dubstep - Pixel,Hard Rock - Crash,Goblin,48,Yes,4,1,2,2,2,3,1,2,N/A,N/A,N/A,N/A,N/A,1,1,2,2,3,1,2,Ryan
Vipers,Las Vegas,Vipers,Vipers,LV,Mr Clean Superdome,Yes,10,10,10,0.0%,0.0%,Elite,Large,Hardcore,Hardcore,Elite,Elite,3,3,3,3,"(255,242,0)",#FFF200,Yellow,"(26,26,26)",Black,"(232,232,232)",White,123,1,2,3,Dark Yellow,3,Dark Red,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Ducks,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Ducks,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,2,3,N/A,Yes,N/A,1,1,2,2,1,2,3,1,1,1,1,1,N/A,38,1,2,2,1,3,2,3,1,2,1,2,1,N/A,N/A,N/A,Primary,N/A,N/A,18,2,3,2,3,1,2,3,N/A,N/A,N/A,N/A,N/A,1,2,N/A,N/A,N/A,N/A,N/A,N/A,15,1,2,3,N/A,3,3,2,N/A,Yes,N/A,1,1,2,1,1,3,2,1,1,1,1,1,N/A,38,3,1,2,2,2,2,1,3,1,2,2,1,N/A,N/A,N/A,Primary,N/A,N/A,18,1,2,2,1,2,1,2,N/A,N/A,N/A,N/A,N/A,1,3,N/A,N/A,N/A,N/A,N/A,N/A,15,3,1,2,N/A,1,2,2,N/A,Yes,N/A,2,1,2,1,2,2,1,2,2,2,1,2,N/A,60,2,1,2,2,1,1,2,2,1,1,2,1,N/A,N/A,N/A,Primary,N/A,N/A,10,2,1,2,1,2,1,1,2,2,2,N/A,N/A,1,1,N/A,N/A,N/A,N/A,N/A,N/A,6,2,1,2,N/A,2,1,1,1,1,2,3,1,1,1,2,1,4,1,2,1,1,3,2,LED,1,1,1,2,3,Black,66,Primary,1,N/A,7,1,1,1,N/A,Goal Light Smoke,1,Plastic Rats,Vertical LED,1,1,N/A,Scoreboard Smoke 1,1,Firestorm,1,USA,19,4,Board Smash,On,Preset Horn (Vibraslap),Miscellaneous - Salsa Hot,Dubstep - Pixel,Pop - Gameboy,Snake Eyes,11,Yes,21,1,2,Dark Red,3,3,2,N/A,N/A,N/A,N/A,N/A,N/A,1,1,2,2,3,1,2,Ben
